TrainAccuracy=0.87014,TrainLoss=0.50224,ValidationAccuracy=0.71805,ValidationLoss=1.42994,lr=1.0000000000000004e-06(timeelapsed00:11:54)
TrainAccuracy=0.87209,TrainLoss=0.49611,ValidationAccuracy=0.71948,ValidationLoss=1.44050,lr=1.0000000000000004e-06(timeelapsed00:12:02)
TrainAccuracy=0.87350,TrainLoss=0.49105,ValidationAccuracy=0.71648,ValidationLoss=1.41269,lr=1.0000000000000004e-06(timeelapsed00:12:01)
TrainAccuracy=0.87032,TrainLoss=0.49852,ValidationAccuracy=0.71481,ValidationLoss=1.44731,lr=1.0000000000000004e-06(timeelapsed00:11:05)
TrainAccuracy=0.87066,TrainLoss=0.49613,ValidationAccuracy=0.71651,ValidationLoss=1.47545,lr=1.0000000000000004e-06(timeelapsed00:11:30)
TrainAccuracy=0.87080,TrainLoss=0.49220,ValidationAccuracy=0.71297,ValidationLoss=1.49404,lr=1.0000000000000004e-06(timeelapsed00:11:48)
TrainAccuracy=0.87320,TrainLoss=0.49186,ValidationAccuracy=0.72135,ValidationLoss=1.42411,lr=1.0000000000000004e-06(timeelapsed00:11:26)
TrainAccuracy=0.87103,TrainLoss=0.49769,ValidationAccuracy=0.71588,ValidationLoss=1.52775,lr=1.0000000000000004e-06(timeelapsed00:12:20)
TrainAccuracy=0.86864,TrainLoss=0.49966,ValidationAccuracy=0.71956,ValidationLoss=1.43643,lr=1.0000000000000005e-07(timeelapsed00:11:42)
TrainAccuracy=0.87249,TrainLoss=0.49200,ValidationAccuracy=0.71788,ValidationLoss=1.44312,lr=1.0000000000000005e-07(timeelapsed00:11:23)
TrainAccuracy=0.87050,TrainLoss=0.50100,ValidationAccuracy=0.71855,ValidationLoss=1.45207,lr=1.0000000000000005e-07(timeelapsed00:11:34)
TrainAccuracy=0.87174,TrainLoss=0.49873,ValidationAccuracy=0.71620,ValidationLoss=1.42268,lr=1.0000000000000005e-07(timeelapsed00:11:17)
TrainAccuracy=0.87106,TrainLoss=0.50422,ValidationAccuracy=0.72191,ValidationLoss=1.42969,lr=1.0000000000000005e-07(timeelapsed00:11:05)
TrainAccuracy=0.87342,TrainLoss=0.49135,ValidationAccuracy=0.72427,ValidationLoss=1.44854,lr=1.0000000000000005e-07(timeelapsed00:11:33)
TrainAccuracy=0.86894,TrainLoss=0.50315,ValidationAccuracy=0.72171,ValidationLoss=1.39577,lr=1.0000000000000005e-07(timeelapsed00:11:43)
TrainAccuracy=0.86552,TrainLoss=0.51656,ValidationAccuracy=0.71727,ValidationLoss=1.48008,lr=1.0000000000000005e-07(timeelapsed00:11:42)
TrainAccuracy=0.87312,TrainLoss=0.48905,ValidationAccuracy=0.72097,ValidationLoss=1.44506,lr=1.0000000000000005e-07(timeelapsed00:11:29)
TrainAccuracy=0.87039,TrainLoss=0.50171,ValidationAccuracy=0.72056,ValidationLoss=1.41062,lr=1.0000000000000005e-07(timeelapsed00:11:34)
TrainAccuracy=0.87110,TrainLoss=0.49630,ValidationAccuracy=0.71982,ValidationLoss=1.41676,lr=1.0000000000000005e-07(timeelapsed00:11:17)
TrainAccuracy=0.87023,TrainLoss=0.50195,ValidationAccuracy=0.72060,ValidationLoss=1.42656,lr=1.0000000000000005e-07(timeelapsed00:12:36)
TrainAccuracy=0.87259,TrainLoss=0.49355,ValidationAccuracy=0.72369,ValidationLoss=1.40829,lr=1.0000000000000005e-07(timeelapsed00:13:10)
TrainAccuracy=0.87208,TrainLoss=0.49289,ValidationAccuracy=0.71952,ValidationLoss=1.42200,lr=1.0000000000000005e-07(timeelapsed00:11:22)
